Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.05930869488714,-2.87595383350052E-12,0.0776653157730273,0,0,0,33.891578448587,0.562042604088221,-9.14376784490416E-12,0.00403961419511076,0.970694427805805,-7.30601560182848E-12,1.29713482615658,0,0,0,0,0,0,package://my_robot_urdf/meshes/base_link.STL,0.152941176470588,0,0.117647058823529,1,0,0,0,0,0,0,package://my_robot_urdf/meshes/base_link.STL,,Base_Link_1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
arm_link_1,0.0416589398280025,-3.68988089329334E-05,0.19712083516126,0,0,0,26.7048266497369,0.495499615132855,-0.0102760504758245,-0.0600935399650257,0.766768677077223,-0.0115358881770517,0.604967931690783,0,0,0,0,0,0,package://my_robot_urdf/meshes/arm_link_1.STL,1,0.309803921568627,0.309803921568627,1,0,0,0,0,0,0,package://my_robot_urdf/meshes/arm_link_1.STL,,Arm_Link_2-1,Origin_arm_joint_13,Axis_arm_joint_13,arm_joint_1,revolute,0,0,0.234000000000013,0,0,0,base_link,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
arm_link_2,-0.290203503422467,0.000258724363916829,0.0707589768311214,0,0,0,14.3270690802686,0.0504590836189902,4.64678003354567E-05,0.0137202067906074,0.848873613210201,-0.000175299197197552,0.874803778149419,0,0,0,0,0,0,package://my_robot_urdf/meshes/arm_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://my_robot_urdf/meshes/arm_link_2.STL,,Arm_Link_3-1,Origin_arm_joint_2,Axis_arm_joint_2,arm_joint_2,revolute,0.150000000000002,-0.1375,0.265,1.5707963267949,0,0,arm_link_1,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
arm_link_3,0.0664637155357432,0.0362614171159604,0.123132908024542,0,0,0,27.1450417424437,0.420912669748457,-0.0211648441841247,-0.00675660536457725,0.344868303293538,0.00338242702861573,0.473964503565446,0,0,0,0,0,0,package://my_robot_urdf/meshes/arm_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://my_robot_urdf/meshes/arm_link_3.STL,,Arm_Link_4-1,Origin_arm_joint_3,Axis_arm_joint_3,arm_joint_3,continuous,-0.700000000000001,0,0,3.14159265358979,0,3.14159265358979,arm_link_2,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
arm_link_4,5.19381656460816E-07,4.95817308893837E-07,0.338893744219759,0,0,0,7.96664349020365,0.223048843574734,-0.000166072999280483,4.33220175839122E-07,0.215976713293833,-3.48765154255128E-07,0.0300827685994122,0,0,0,0,0,0,package://my_robot_urdf/meshes/arm_link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://my_robot_urdf/meshes/arm_link_4.STL,,Arm_Link_5-1,Origin_arm_joint_4,Axis_arm_joint_4,arm_joint_4,revolute,0.115,0.289996513803296,0.11,1.5707963267949,0,3.14159265358979,arm_link_3,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
arm_link_5,-0.00224018993807718,-7.93515697594671E-10,-4.63650767085211E-10,0,0,0,0.961734748124672,0.00154678090917305,8.85889008790739E-10,1.41969821668856E-11,0.00143991315628678,9.91727417863987E-10,0.00165625576362529,0,0,0,0,0,0,package://my_robot_urdf/meshes/arm_link_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://my_robot_urdf/meshes/arm_link_5.STL,,Arm_Link_6-1,Origin_arm_joint_5,Axis_arm_joint_5,arm_joint_5,revolute,0,0,0.510003486196704,1.5707963267949,0,0,arm_link_4,0,0,1,0,0,-4.7124,1.5708,,,,,,,,
arm_link_6,2.47238263195726E-08,2.0518347576548E-09,0.052725963344278,0,0,0,0.288779624800079,0.000386925186804297,-2.51402341445703E-12,-3.11942429904297E-13,0.000386925215104185,-2.74312353784785E-14,0.000212753902483572,0,0,0,0,0,0,package://my_robot_urdf/meshes/arm_link_6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://my_robot_urdf/meshes/arm_link_6.STL,,Arm_Link_7-1,Origin_arm_joint_6,Axis_arm_joint_6,arm_joint_6,revolute,0.0450000000000004,0,0,-1.5707963267949,0,-1.5707963267949,arm_link_5,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
eef_link,-9.30830701406649E-09,-4.47423127714064E-09,-0.0188761945416884,0,0,0,5.46782575492837,0.0365076087226209,-1.69594623176887E-09,2.84396742647187E-09,0.0365076302641158,1.3669924295319E-09,0.0627860547898383,0,0,0,0,0,0,package://my_robot_urdf/meshes/eef_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://my_robot_urdf/meshes/eef_link.STL,,Eff_Gripper_Base-1,Origin_eef_link_fixed,Axis_eef_link_fixed,eef_link_fixed,fixed,0,0,0.145,3.14159265358979,0,3.14159265358979,arm_link_6,0,0,0,,,,,,,,,,,,
eef_jaw_1,0.0869730343447335,-0.02,0.0799489474646907,0,0,0,0.672155087926634,0.00170709281582639,-2.10297489845672E-19,-0.000828153130362926,0.00264620439405273,-1.13884847286996E-19,0.00111534333500677,0,0,0,0,0,0,package://my_robot_urdf/meshes/eef_jaw_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://my_robot_urdf/meshes/eef_jaw_1.STL,,Eff_Gripper_Jaw_1-1,Origin_eef_jaw_1_joint_fixed,Axis_eef_jaw_1_joint_fixed,eef_jaw_1_joint_fixed,fixed,-0.222284161474005,-0.0199999999999985,-0.0299999999999994,3.14159265358979,0,0,eef_link,0,0,0,,,,,,,,,,,,
eef_jaw_2,0.0869730343447341,0.02,-0.0799489474646903,0,0,0,0.672155087926635,0.00170709281582639,-5.6339619860202E-19,0.000828153130362932,0.00264620439405273,3.28558952421928E-19,0.00111534333500678,0,0,0,0,0,0,package://my_robot_urdf/meshes/eef_jaw_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://my_robot_urdf/meshes/eef_jaw_2.STL,,Eff_Gripper_Jaw_2-1,Origin_eef_jaw_2_joint_fixed,Axis_eef_jaw_2_joint_fixed,eef_jaw_2_joint_fixed,fixed,0.222284161474005,0.0200000000000028,-0.0300000000000008,0,0,3.14159265358979,eef_link,0,0,0,,,,,,,,,,,,
